date,description,category,type,amount
2025-03-25,Donasi ke masjid,Gift & Donation,expense,770585
2025-07-22,Bonus tahunan,Salary,income,17092505
2024-12-26,Belanja pakaian di Uniqlo,Shopping,expense,1658152
2025-10-21,Bayar iuran keamanan,Bills & Utilities,expense,629584
2025-04-27,Hasil penjualan produk,Business,income,8024283
2025-06-02,Cashback e-wallet,Other Income,income,45498
2025-07-17,Pendapatan proyek freelance,Salary,income,13453526
2025-08-24,Pesan GoFood,Food & Dining,expense,163732
2025-03-19,Penarikan tunai ATM,Other Expense,expense,33826
2025-10-12,Sumbangan ke panti asuhan,Gift & Donation,expense,209429
2025-07-02,Biaya transfer antar bank,Other Expense,expense,368976
2024-11-29,Pemasukan usaha kecil,Business,income,3276934
2025-05-06,Gaji lembur,Salary,income,14437160
2025-08-28,Top up pulsa Telkomsel,Bills & Utilities,expense,669364
2024-10-23,Beli tiket bioskop XXI,Entertainment,expense,187775
2025-08-21,Hadiah ulang tahun untuk teman,Gift & Donation,expense,740565
2025-06-12,Beli makanan di Indomaret,Food & Dining,expense,284145
2025-03-03,Potongan layanan e-wallet,Other Expense,expense,169074
2025-10-19,Langganan Spotify,Entertainment,expense,301558
2025-01-17,Pendapatan toko online,Business,income,4256912
2025-02-20,Beli makanan di Indomaret,Food & Dining,expense,173009
2025-03-13,Pesan GoFood,Food & Dining,expense,89715
2025-09-15,Beli obat di apotek,Health & Medical,expense,572207
2024-12-20,Nonton konser musik,Entertainment,expense,21467
2025-09-10,Penjualan barang bekas,Other Income,income,327277
2024-12-03,Les bahasa Inggris,Education,expense,4707653
2025-05-19,Cek kesehatan di RS Hermina,Health & Medical,expense,1933946
2025-04-06,Donasi ke masjid,Gift & Donation,expense,70045
2025-04-22,Cashback e-wallet,Other Income,income,124965
2025-01-20,Denda keterlambatan,Other Expense,expense,144211
2025-09-23,Beli makanan di Indomaret,Food & Dining,expense,75806
2025-09-21,Biaya transfer antar bank,Other Expense,expense,144922
2025-07-31,Pendapatan tambahan,Other Income,income,118086
2025-04-06,Bonus tahunan,Salary,income,9509606
2025-09-09,Nonton konser musik,Entertainment,expense,866969
2025-06-07,Bayar air PDAM,Bills & Utilities,expense,585958
2025-04-28,Biaya transfer antar bank,Other Expense,expense,87769
2025-07-02,Gaji bulanan PT Astra,Salary,income,8045291
2025-01-20,Bonus tahunan,Salary,income,8168543
2025-01-22,Beli bunga untuk keluarga,Gift & Donation,expense,689020
2025-03-29,Beli obat di apotek,Health & Medical,expense,391665
2025-10-08,Beli jam tangan Casio,Shopping,expense,1625783
2024-11-27,Isi bensin di SPBU Pertamina,Transportation,expense,121776
2025-09-17,Beli game di Steam,Entertainment,expense,442056
2024-12-31,Tiket KRL Bekasi-Jakarta,Transportation,expense,200516
2024-12-12,Beli makanan di Indomaret,Food & Dining,expense,218115
2024-12-17,Bayar tagihan listrik PLN,Bills & Utilities,expense,1833426
2024-12-28,Makan siang di warung padang,Food & Dining,expense,150203
2025-01-03,Parkir di Mall,Transportation,expense,174465
2024-10-26,Sumbangan ke panti asuhan,Gift & Donation,expense,840116
2025-04-13,Tiket KRL Bekasi-Jakarta,Transportation,expense,233535
2025-02-02,Biaya administrasi bank,Other Expense,expense,82996
2025-06-06,Gaji lembur,Salary,income,18681231
2025-04-09,Pesan gadget di Shopee,Shopping,expense,4067374
2024-11-19,Beli sepatu di Tokopedia,Shopping,expense,4609430
2025-09-08,Denda keterlambatan,Other Expense,expense,295009
2024-11-13,Naik Gojek ke kantor,Transportation,expense,36952
2024-12-13,Hasil penjualan produk,Business,income,9082257
2024-10-22,Bayar air PDAM,Bills & Utilities,expense,570417
2025-05-28,Pesan GoFood,Food & Dining,expense,222051
2025-09-22,Pesan gadget di Shopee,Shopping,expense,2456240
2025-10-08,Beli game di Steam,Entertainment,expense,947175
2025-06-30,Biaya administrasi bank,Other Expense,expense,98897
2024-12-13,Isi bensin di SPBU Pertamina,Transportation,expense,83875
2025-09-02,Bayar kursus online,Education,expense,2899486
2024-12-04,Parkir di Mall,Transportation,expense,244772
2025-01-07,Beli makanan di Indomaret,Food & Dining,expense,113358
2025-04-11,Bayar iuran keamanan,Bills & Utilities,expense,1357476
2025-01-06,Beli jam tangan Casio,Shopping,expense,2579700
2025-04-18,Donasi ke masjid,Gift & Donation,expense,927925
2025-07-04,Parkir di Mall,Transportation,expense,183468
2025-10-21,Les bahasa Inggris,Education,expense,740633
2025-09-22,Pesan GoFood,Food & Dining,expense,96854
2025-05-09,Beli buku pelajaran,Education,expense,3847152
2024-11-25,Biaya transfer antar bank,Other Expense,expense,69330
2025-03-13,Beli bunga untuk keluarga,Gift & Donation,expense,161695
2024-12-26,Parkir di Mall,Transportation,expense,57676
2025-04-03,Langganan internet Indihome,Bills & Utilities,expense,1136426
2025-10-12,Top up pulsa Telkomsel,Bills & Utilities,expense,968104
2024-12-31,Donasi ke masjid,Gift & Donation,expense,851105
2025-05-06,Bunga tabungan bank,Other Income,income,229498
2025-07-24,Komisi reseller,Business,income,9455185
2025-07-23,Gaji lembur,Salary,income,18780875
2024-12-03,Beli game di Steam,Entertainment,expense,629184
2025-07-18,Biaya transfer antar bank,Other Expense,expense,312973
2025-10-16,Penarikan tunai ATM,Other Expense,expense,55744
2024-10-23,Langganan Spotify,Entertainment,expense,233154
2025-08-03,Kopi di Starbucks,Food & Dining,expense,268473
2024-11-21,Belanja pakaian di Uniqlo,Shopping,expense,2980539
2025-03-21,Beli buku pelajaran,Education,expense,3962017
2025-05-25,Belanja bulanan di Superindo,Shopping,expense,2084215
2024-11-19,Beli tiket bioskop XXI,Entertainment,expense,803281
2025-10-13,Belanja pakaian di Uniqlo,Shopping,expense,1250213
2025-10-13,Bayar tagihan listrik PLN,Bills & Utilities,expense,990678
2025-10-16,Bayar kursus online,Education,expense,989274
2024-11-28,Pendapatan tambahan,Other Income,income,259994
2024-11-06,Hadiah ulang tahun untuk teman,Gift & Donation,expense,164021
2024-12-01,Beli buku pelajaran,Education,expense,2155593
2025-08-09,Naik Gojek ke kantor,Transportation,expense,227859
2025-01-23,Bayar air PDAM,Bills & Utilities,expense,1085168
2025-07-19,Penarikan tunai ATM,Other Expense,expense,376248
2025-05-20,Beli vitamin di Guardian,Health & Medical,expense,1565312
2025-09-17,Langganan platform e-learning,Education,expense,210808
2025-01-09,Beli obat di apotek,Health & Medical,expense,175830
2025-08-27,Cashback e-wallet,Other Income,income,403809
2025-01-12,Belanja bulanan di Superindo,Shopping,expense,141163
2025-10-05,Top up pulsa Telkomsel,Bills & Utilities,expense,1937055
2025-10-21,Gaji lembur,Salary,income,18917006
2025-07-05,Konsultasi dokter umum,Health & Medical,expense,691799
2025-05-26,Penarikan tunai ATM,Other Expense,expense,498348
2024-12-08,Pesan gadget di Shopee,Shopping,expense,4424667
2025-02-07,Bayar air PDAM,Bills & Utilities,expense,939704
2025-02-11,Sumbangan ke panti asuhan,Gift & Donation,expense,421346
2025-08-27,Belanja bulanan di Superindo,Shopping,expense,697678
2025-06-23,Biaya transfer antar bank,Other Expense,expense,174201
2025-05-04,Refund pembelian,Other Income,income,96415
2025-09-18,Kopi di Starbucks,Food & Dining,expense,242414
2024-12-16,Langganan Spotify,Entertainment,expense,129471
2025-08-26,Parkir di Mall,Transportation,expense,214157
2025-02-21,Bayar kursus online,Education,expense,2467323
2024-12-15,Belanja bulanan di Superindo,Shopping,expense,597936
2024-10-27,Nonton konser musik,Entertainment,expense,813270
2025-07-31,Cek kesehatan di RS Hermina,Health & Medical,expense,473049
2025-02-22,Cashback e-wallet,Other Income,income,151121
2025-08-07,Tiket KRL Bekasi-Jakarta,Transportation,expense,21763
2024-11-14,Beli bunga untuk keluarga,Gift & Donation,expense,60382
2025-03-29,Bayar kursus online,Education,expense,171124
2025-05-13,Les bahasa Inggris,Education,expense,4296116
2025-05-10,Langganan Spotify,Entertainment,expense,780939
2025-10-16,Beli buku pelajaran,Education,expense,916881
2025-07-06,Langganan platform e-learning,Education,expense,947273
2024-11-03,Pembayaran dari klien,Business,income,6910771
2024-11-10,Gaji lembur,Salary,income,9867395
2025-10-06,Beli sepatu di Tokopedia,Shopping,expense,3934816
2025-02-17,Naik Gojek ke kantor,Transportation,expense,241840
2025-01-12,Beli tiket bioskop XXI,Entertainment,expense,545986
2025-09-20,Pemasukan usaha kecil,Business,income,9279300
2024-12-28,Langganan platform e-learning,Education,expense,2943911
2025-09-06,Tes darah di klinik,Health & Medical,expense,1845062
2025-10-21,Bayar tagihan listrik PLN,Bills & Utilities,expense,1723562
2025-02-21,Refund pembelian,Other Income,income,119482
2024-11-29,Zakat bulanan,Gift & Donation,expense,169804
2024-12-10,Beli bunga untuk keluarga,Gift & Donation,expense,853816
2025-03-29,Pesan GoFood,Food & Dining,expense,65700
2025-06-11,Gaji bulanan PT Astra,Salary,income,10263326
2025-01-12,Pesan gadget di Shopee,Shopping,expense,621782
2025-04-26,Konsultasi dokter umum,Health & Medical,expense,791067
2025-01-21,Naik Gojek ke kantor,Transportation,expense,196293
2025-06-21,Tunjangan transportasi,Salary,income,9295408
2024-12-24,Bonus tahunan,Salary,income,14541763
2025-04-26,Gaji bulanan PT Astra,Salary,income,19411683
2025-05-19,Beli vitamin di Guardian,Health & Medical,expense,1847261
2025-06-04,Hadiah ulang tahun untuk teman,Gift & Donation,expense,394546
2025-03-31,Pemasukan usaha kecil,Business,income,6769362
2025-07-08,Bayar tol,Transportation,expense,127988
2025-09-04,Beli obat di apotek,Health & Medical,expense,1400286
2025-10-15,Pesan GoFood,Food & Dining,expense,24164
2025-03-19,Belanja pakaian di Uniqlo,Shopping,expense,3202620
2025-05-14,Belanja bulanan di Superindo,Shopping,expense,662189
2025-06-15,Beli game di Steam,Entertainment,expense,721655
2025-06-17,Parkir di Mall,Transportation,expense,132811
2025-06-17,Pendapatan tambahan,Other Income,income,67209
2024-12-16,Isi bensin di SPBU Pertamina,Transportation,expense,114056
2025-05-15,Bayar air PDAM,Bills & Utilities,expense,789377
2025-04-15,Parkir di Mall,Transportation,expense,168431
2025-10-16,Bonus tahunan,Salary,income,17436694
2025-03-13,Gaji bulanan PT Astra,Salary,income,12626564
2025-01-09,Beli makanan di Indomaret,Food & Dining,expense,266398
2025-04-03,Beli sepatu di Tokopedia,Shopping,expense,4816462
2025-05-04,Beli makanan di Indomaret,Food & Dining,expense,52715
2025-06-21,Langganan platform e-learning,Education,expense,1890303
2024-11-02,Pesan GoFood,Food & Dining,expense,241732
2025-09-12,Tes darah di klinik,Health & Medical,expense,419320
2024-11-26,Isi bensin di SPBU Pertamina,Transportation,expense,81802
2025-03-23,Bayar tagihan listrik PLN,Bills & Utilities,expense,1932440
2025-05-24,Biaya transfer antar bank,Other Expense,expense,285134
2025-01-24,Langganan Spotify,Entertainment,expense,890893
2025-05-29,Makan siang di warung padang,Food & Dining,expense,199316
2025-01-31,Cek kesehatan di RS Hermina,Health & Medical,expense,782485
2025-06-22,Top up pulsa Telkomsel,Bills & Utilities,expense,1223038
2025-10-13,Penarikan tunai ATM,Other Expense,expense,239000
2025-05-09,Bayar uang sekolah anak,Education,expense,183311
2025-01-31,Pemasukan usaha kecil,Business,income,1805413
2025-09-02,Potongan layanan e-wallet,Other Expense,expense,85821
2024-10-29,Les bahasa Inggris,Education,expense,1362538
2025-07-04,Bonus tahunan,Salary,income,19500570
2025-10-02,Bayar kursus online,Education,expense,3509018
2024-10-23,Konsultasi dokter umum,Health & Medical,expense,994890
2025-09-14,Beli jam tangan Casio,Shopping,expense,4901778
2025-02-10,Naik Gojek ke kantor,Transportation,expense,205482
2025-10-13,Beli game di Steam,Entertainment,expense,592612
2025-05-03,Belanja bulanan di Superindo,Shopping,expense,1863090
2025-01-27,Beli buku pelajaran,Education,expense,4938854
2025-04-26,Kopi di Starbucks,Food & Dining,expense,28488
2025-07-06,Tes darah di klinik,Health & Medical,expense,1767675
2025-09-19,Bayar tol,Transportation,expense,129537
2025-04-20,Top up pulsa Telkomsel,Bills & Utilities,expense,838640
2025-07-16,Komisi reseller,Business,income,6134235
2025-06-13,Isi bensin di SPBU Pertamina,Transportation,expense,122298
2025-08-01,Beli buku pelajaran,Education,expense,1464466
2025-05-05,Komisi reseller,Business,income,5281975
2025-09-11,Refund pembelian,Other Income,income,158503
2024-12-11,Potongan layanan e-wallet,Other Expense,expense,55938
2025-09-19,Naik Gojek ke kantor,Transportation,expense,14306
2024-12-14,Beli bunga untuk keluarga,Gift & Donation,expense,530518
2025-07-27,Potongan layanan e-wallet,Other Expense,expense,62272
2025-07-06,Refund pembelian,Other Income,income,314733
2025-05-25,Kopi di Starbucks,Food & Dining,expense,131081
2025-07-31,Beli game di Steam,Entertainment,expense,419591
2025-06-19,Isi bensin di SPBU Pertamina,Transportation,expense,42621
2025-05-21,Langganan platform e-learning,Education,expense,3420282
2025-02-13,Kopi di Starbucks,Food & Dining,expense,286108
2025-09-24,Tes darah di klinik,Health & Medical,expense,604694
2025-10-01,Beli vitamin di Guardian,Health & Medical,expense,556576
2024-11-07,Dinner di restoran Jepang,Food & Dining,expense,28142
2025-05-01,Pesan GoFood,Food & Dining,expense,292086
2025-04-02,Potongan layanan e-wallet,Other Expense,expense,185683
2025-05-30,Belanja bulanan di Superindo,Shopping,expense,2078626
2025-01-28,Komisi reseller,Business,income,7098776
2025-05-29,Beli makanan di Indomaret,Food & Dining,expense,87565
2025-01-18,Refund pembelian,Other Income,income,221350
2025-01-11,Bayar uang sekolah anak,Education,expense,3769190
2025-10-20,Langganan Netflix,Entertainment,expense,860089
2024-12-21,Belanja bulanan di Superindo,Shopping,expense,4889671
2025-08-01,Langganan internet Indihome,Bills & Utilities,expense,433558
2024-12-08,Beli buku pelajaran,Education,expense,882366
2024-10-27,Dinner di restoran Jepang,Food & Dining,expense,100241
2025-10-19,Beli makanan di Indomaret,Food & Dining,expense,61299
2024-11-03,Beli bunga untuk keluarga,Gift & Donation,expense,788399
2025-06-11,Penarikan tunai ATM,Other Expense,expense,342641
2025-01-25,Penjualan barang bekas,Other Income,income,135683
2025-03-23,Bunga tabungan bank,Other Income,income,111622
2025-05-03,Pembayaran dari klien,Business,income,4870124
2025-03-11,Cashback e-wallet,Other Income,income,53496
2025-09-13,Belanja pakaian di Uniqlo,Shopping,expense,4909978
2025-06-14,Naik Gojek ke kantor,Transportation,expense,166210
2025-01-02,Naik Gojek ke kantor,Transportation,expense,84045
2024-12-08,Cek kesehatan di RS Hermina,Health & Medical,expense,212280
2025-02-05,Tunjangan transportasi,Salary,income,11556539
2024-11-02,Bayar tol,Transportation,expense,118460
2025-09-07,Bayar tol,Transportation,expense,30004
2025-05-02,Beli game di Steam,Entertainment,expense,952932
2025-01-12,Langganan platform e-learning,Education,expense,1608325
2025-01-21,Beli obat di apotek,Health & Medical,expense,1433420
2024-11-07,Zakat bulanan,Gift & Donation,expense,132900
2025-06-26,Les bahasa Inggris,Education,expense,4684229
2025-07-16,Pesan GoFood,Food & Dining,expense,153431
2025-08-28,Isi bensin di SPBU Pertamina,Transportation,expense,17747
2025-07-14,Pendapatan toko online,Business,income,9085651
2025-04-26,Beli sepatu di Tokopedia,Shopping,expense,1012915
2025-04-07,Langganan Netflix,Entertainment,expense,165295
2025-10-11,Langganan Netflix,Entertainment,expense,152729
2025-06-25,Tes darah di klinik,Health & Medical,expense,467831
2025-10-19,Parkir di Mall,Transportation,expense,154571
2025-06-18,Penjualan barang bekas,Other Income,income,400696
2025-07-11,Pendapatan proyek freelance,Salary,income,11709915
2025-01-18,Langganan Spotify,Entertainment,expense,227488
2025-05-11,Penjualan barang bekas,Other Income,income,63946
2025-03-30,Zakat bulanan,Gift & Donation,expense,183699
2025-05-31,Beli game di Steam,Entertainment,expense,945743
2025-08-23,Pendapatan proyek freelance,Salary,income,17533910
2025-09-05,Tes darah di klinik,Health & Medical,expense,275567
2025-05-29,Beli bunga untuk keluarga,Gift & Donation,expense,219422
2025-05-01,Donasi ke masjid,Gift & Donation,expense,951510
2025-06-09,Cashback e-wallet,Other Income,income,97686
2025-02-28,Beli makanan di Indomaret,Food & Dining,expense,234857
2025-09-17,Konsultasi dokter umum,Health & Medical,expense,1162535
2024-11-06,Langganan platform e-learning,Education,expense,1061753
2025-05-29,Pesan gadget di Shopee,Shopping,expense,1609567
2024-11-28,Beli buku pelajaran,Education,expense,1905095
2025-04-30,Penjualan barang bekas,Other Income,income,86042
2024-10-26,Bayar kursus online,Education,expense,2772519
2025-04-08,Biaya administrasi bank,Other Expense,expense,122078
2025-04-04,Gaji lembur,Salary,income,8903198
2025-05-07,Pendapatan toko online,Business,income,5258257
2025-07-18,Hadiah ulang tahun untuk teman,Gift & Donation,expense,238026
2025-03-13,Tiket KRL Bekasi-Jakarta,Transportation,expense,197764
2025-08-11,Sumbangan ke panti asuhan,Gift & Donation,expense,946026
2025-10-06,Refund pembelian,Other Income,income,406467
2025-04-03,Langganan internet Indihome,Bills & Utilities,expense,515551
2025-07-01,Langganan Netflix,Entertainment,expense,542873
2025-05-25,Kopi di Starbucks,Food & Dining,expense,82526
2025-01-17,Bayar tol,Transportation,expense,167661
2025-05-06,Bayar uang sekolah anak,Education,expense,2083250
2025-03-16,Sumbangan ke panti asuhan,Gift & Donation,expense,28702
2024-10-24,Pendapatan tambahan,Other Income,income,487963
2024-12-28,Tunjangan transportasi,Salary,income,19120424
2025-07-22,Bayar tagihan listrik PLN,Bills & Utilities,expense,1206276
2025-09-17,Kopi di Starbucks,Food & Dining,expense,28531
2024-12-09,Bayar tol,Transportation,expense,227540
2025-03-11,Langganan internet Indihome,Bills & Utilities,expense,765194
2024-12-01,Langganan platform e-learning,Education,expense,4767842
2025-08-31,Langganan platform e-learning,Education,expense,494875
2025-10-13,Langganan internet Indihome,Bills & Utilities,expense,1053327
2025-05-01,Gaji bulanan PT Astra,Salary,income,15367933
2025-02-13,Naik Gojek ke kantor,Transportation,expense,22539
2024-12-14,Pesan GoFood,Food & Dining,expense,189271
2025-02-14,Biaya transfer antar bank,Other Expense,expense,99229
2025-04-28,Isi bensin di SPBU Pertamina,Transportation,expense,223948
2025-10-09,Pendapatan toko online,Business,income,1380652
2024-12-17,Beli obat di apotek,Health & Medical,expense,150670
2025-03-06,Beli obat di apotek,Health & Medical,expense,740652
2025-05-04,Potongan layanan e-wallet,Other Expense,expense,151511
2024-12-31,Penarikan tunai ATM,Other Expense,expense,315897
2024-12-25,Gaji bulanan PT Astra,Salary,income,10357513
2025-05-21,Belanja bulanan di Superindo,Shopping,expense,3797860
2025-07-16,Cashback e-wallet,Other Income,income,286608
2025-06-23,Nonton konser musik,Entertainment,expense,713390
2025-04-04,Tunjangan transportasi,Salary,income,17962814
2025-02-14,Biaya transfer antar bank,Other Expense,expense,58129
2025-10-21,Tes darah di klinik,Health & Medical,expense,223632
2025-02-23,Bayar uang sekolah anak,Education,expense,1827140
2024-11-29,Biaya administrasi bank,Other Expense,expense,269315
2024-10-28,Pesan GoFood,Food & Dining,expense,133317
2025-01-26,Pendapatan proyek freelance,Salary,income,13181335
2025-02-05,Parkir di Mall,Transportation,expense,223384
2025-07-12,Zakat bulanan,Gift & Donation,expense,910159
2025-10-19,Les bahasa Inggris,Education,expense,3908612
2025-07-07,Bunga tabungan bank,Other Income,income,65396
2025-04-26,Beli sepatu di Tokopedia,Shopping,expense,3284443
2025-07-11,Gaji lembur,Salary,income,8406122
2024-11-26,Bayar air PDAM,Bills & Utilities,expense,682669
2025-10-08,Bayar air PDAM,Bills & Utilities,expense,744133
2025-01-05,Sumbangan ke panti asuhan,Gift & Donation,expense,493345
2025-02-22,Naik Gojek ke kantor,Transportation,expense,14348
2025-03-07,Bonus tahunan,Salary,income,5479597
2025-06-10,Gaji lembur,Salary,income,10904855
2025-07-30,Beli obat di apotek,Health & Medical,expense,226300
2025-02-07,Langganan platform e-learning,Education,expense,1363492
2025-05-30,Bayar iuran keamanan,Bills & Utilities,expense,1165199
2025-06-04,Bayar kursus online,Education,expense,2386641
2024-11-16,Bayar kursus online,Education,expense,3308831
2025-01-29,Biaya transfer antar bank,Other Expense,expense,164143
2025-01-20,Beli game di Steam,Entertainment,expense,642905
2025-08-29,Konsultasi dokter umum,Health & Medical,expense,1085188
2024-12-16,Komisi reseller,Business,income,1336704
2024-12-17,Bunga tabungan bank,Other Income,income,125123
2024-11-09,Naik Gojek ke kantor,Transportation,expense,160793
2024-11-24,Cek kesehatan di RS Hermina,Health & Medical,expense,1165961
2025-02-14,Parkir di Mall,Transportation,expense,241368
2025-05-10,Beli bunga untuk keluarga,Gift & Donation,expense,421970
2025-10-11,Isi bensin di SPBU Pertamina,Transportation,expense,80324
2025-01-17,Bonus tahunan,Salary,income,18182322
2025-09-13,Langganan Spotify,Entertainment,expense,321982
2025-03-18,Potongan layanan e-wallet,Other Expense,expense,394765
2025-01-24,Makan siang di warung padang,Food & Dining,expense,283842
2025-06-23,Potongan layanan e-wallet,Other Expense,expense,397496
2025-01-17,Cek kesehatan di RS Hermina,Health & Medical,expense,710838
2025-01-15,Cashback e-wallet,Other Income,income,108222
2025-01-02,Langganan platform e-learning,Education,expense,206827
2025-05-29,Refund pembelian,Other Income,income,185140
2025-03-06,Pesan GoFood,Food & Dining,expense,60358
2025-08-22,Belanja pakaian di Uniqlo,Shopping,expense,3003994
2024-10-22,Gaji lembur,Salary,income,13192437
2024-12-17,Beli game di Steam,Entertainment,expense,67371
2025-10-05,Beli makanan di Indomaret,Food & Dining,expense,172388
2025-07-06,Nonton konser musik,Entertainment,expense,195431
2024-12-12,Belanja pakaian di Uniqlo,Shopping,expense,2605189
2025-06-10,Denda keterlambatan,Other Expense,expense,267248
2025-07-28,Denda keterlambatan,Other Expense,expense,144920
2025-02-28,Refund pembelian,Other Income,income,200992
2025-04-20,Gaji bulanan PT Astra,Salary,income,10052190
2025-07-14,Denda keterlambatan,Other Expense,expense,416074
2025-06-26,Pendapatan tambahan,Other Income,income,69119
2025-09-14,Konsultasi dokter umum,Health & Medical,expense,93468
2025-02-11,Beli jam tangan Casio,Shopping,expense,1238104
2024-11-06,Langganan platform e-learning,Education,expense,2149905
2025-04-24,Beli bunga untuk keluarga,Gift & Donation,expense,226329
2025-01-29,Biaya administrasi bank,Other Expense,expense,492684
2025-03-11,Bayar tagihan listrik PLN,Bills & Utilities,expense,1939504
2025-06-09,Pendapatan tambahan,Other Income,income,469324
2025-03-06,Pembayaran dari klien,Business,income,6352648
2025-08-19,Langganan platform e-learning,Education,expense,3600518
2025-01-27,Tes darah di klinik,Health & Medical,expense,136192
2025-10-16,Zakat bulanan,Gift & Donation,expense,369949
2025-05-31,Sumbangan ke panti asuhan,Gift & Donation,expense,843966
2025-04-17,Gaji lembur,Salary,income,9838692
2025-07-04,Naik Gojek ke kantor,Transportation,expense,189706
2025-10-05,Beli jam tangan Casio,Shopping,expense,1310201
2025-09-06,Hasil penjualan produk,Business,income,9864049
2025-03-26,Bunga tabungan bank,Other Income,income,265236
2025-03-21,Beli obat di apotek,Health & Medical,expense,82699
2025-02-10,Gaji bulanan PT Astra,Salary,income,9748242
2024-11-18,Sumbangan ke panti asuhan,Gift & Donation,expense,522089
2025-05-30,Beli obat di apotek,Health & Medical,expense,788733
2024-11-16,Cashback e-wallet,Other Income,income,141823
2025-03-16,Pesan gadget di Shopee,Shopping,expense,4261024
2025-01-09,Pendapatan tambahan,Other Income,income,55090
2025-01-03,Denda keterlambatan,Other Expense,expense,394330
2025-08-17,Beli game di Steam,Entertainment,expense,982865
2025-02-11,Parkir di Mall,Transportation,expense,18424
2025-02-26,Tunjangan transportasi,Salary,income,18618218
2025-05-26,Refund pembelian,Other Income,income,219250
2025-03-25,Parkir di Mall,Transportation,expense,166510
2025-08-06,Cek kesehatan di RS Hermina,Health & Medical,expense,963972
2025-08-14,Penjualan barang bekas,Other Income,income,82968
2025-02-27,Bunga tabungan bank,Other Income,income,81141
2025-02-01,Bayar iuran keamanan,Bills & Utilities,expense,731373
2025-03-23,Beli obat di apotek,Health & Medical,expense,1238382
2025-07-28,Refund pembelian,Other Income,income,106139
2024-12-10,Top up pulsa Telkomsel,Bills & Utilities,expense,390685
2025-10-12,Komisi reseller,Business,income,5755638
2025-06-18,Hasil penjualan produk,Business,income,6442386
2025-05-25,Top up pulsa Telkomsel,Bills & Utilities,expense,960374
2025-08-04,Gaji bulanan PT Astra,Salary,income,5443289
2025-01-01,Bayar tagihan listrik PLN,Bills & Utilities,expense,1390185
2025-08-15,Cek kesehatan di RS Hermina,Health & Medical,expense,1124175
2025-09-04,Beli buku pelajaran,Education,expense,4657275
2024-11-18,Donasi ke masjid,Gift & Donation,expense,802026
2025-05-16,Bayar air PDAM,Bills & Utilities,expense,1505258
2025-07-14,Dinner di restoran Jepang,Food & Dining,expense,261288
2024-11-19,Makan siang di warung padang,Food & Dining,expense,161649
2025-04-10,Cashback e-wallet,Other Income,income,321605
2025-08-07,Parkir di Mall,Transportation,expense,136213
2024-11-22,Denda keterlambatan,Other Expense,expense,73670
2025-10-02,Potongan layanan e-wallet,Other Expense,expense,277817
2025-10-16,Biaya administrasi bank,Other Expense,expense,117512
2025-08-05,Pembayaran dari klien,Business,income,8809833
2025-10-02,Beli sepatu di Tokopedia,Shopping,expense,1348350
2024-10-25,Tes darah di klinik,Health & Medical,expense,1739500
2025-10-09,Gaji lembur,Salary,income,8367185
2024-10-22,Naik Gojek ke kantor,Transportation,expense,50113
2025-07-15,Sumbangan ke panti asuhan,Gift & Donation,expense,111568
2024-12-14,Beli tiket bioskop XXI,Entertainment,expense,516754
2025-06-06,Beli makanan di Indomaret,Food & Dining,expense,224846
2025-03-24,Makan siang di warung padang,Food & Dining,expense,232104
2025-02-19,Bonus tahunan,Salary,income,19121731
2025-08-31,Hasil penjualan produk,Business,income,7867376
2024-12-24,Pendapatan tambahan,Other Income,income,236677
2025-01-24,Belanja pakaian di Uniqlo,Shopping,expense,1238549
2025-01-17,Penarikan tunai ATM,Other Expense,expense,278181
2025-02-01,Potongan layanan e-wallet,Other Expense,expense,259644
2025-03-19,Tunjangan transportasi,Salary,income,16199387
2025-07-01,Tiket KRL Bekasi-Jakarta,Transportation,expense,106295
2025-05-10,Penjualan barang bekas,Other Income,income,212281
2025-06-16,Biaya administrasi bank,Other Expense,expense,228573
2024-11-05,Bayar air PDAM,Bills & Utilities,expense,694379
2025-08-06,Gaji bulanan PT Astra,Salary,income,11533541
2025-03-26,Beli makanan di Indomaret,Food & Dining,expense,37869
2025-06-06,Pendapatan tambahan,Other Income,income,32351
2025-06-18,Beli buku pelajaran,Education,expense,3944919
2025-01-11,Beli obat di apotek,Health & Medical,expense,800251
2025-02-06,Pemasukan usaha kecil,Business,income,6352464
2025-05-09,Potongan layanan e-wallet,Other Expense,expense,278983
2025-09-22,Isi bensin di SPBU Pertamina,Transportation,expense,49689
2025-04-13,Bayar uang sekolah anak,Education,expense,3954412
2025-03-13,Penarikan tunai ATM,Other Expense,expense,421545
2025-05-11,Penjualan barang bekas,Other Income,income,45761
2025-05-02,Refund pembelian,Other Income,income,257334
2025-08-12,Hadiah ulang tahun untuk teman,Gift & Donation,expense,752916
2025-03-03,Pemasukan usaha kecil,Business,income,2671340
2025-08-19,Denda keterlambatan,Other Expense,expense,314467
2025-09-03,Bayar uang sekolah anak,Education,expense,3487100
2024-11-06,Naik Gojek ke kantor,Transportation,expense,233354
2025-02-17,Penarikan tunai ATM,Other Expense,expense,60614
2025-07-04,Cashback e-wallet,Other Income,income,499807
2025-04-05,Refund pembelian,Other Income,income,408411
2024-12-14,Beli tiket bioskop XXI,Entertainment,expense,963502
2025-05-25,Beli jam tangan Casio,Shopping,expense,589973
2025-02-27,Beli makanan di Indomaret,Food & Dining,expense,80017
2025-06-05,Makan siang di warung padang,Food & Dining,expense,216252
