date,description,category,type
2025-10-15,Beli vitamin di Guardian,Health & Medical,expense
2024-12-20,Pesan jam tangan Casio online,Shopping,expense
2024-11-10,Makan siang di Warteg Bu Siti,Food & Dining,expense
2024-12-20,Pesan jam tangan Casio online,Shopping,expense
2025-07-24,Bonus akhir tahun,Salary,income
2025-06-11,Dinner di restoran Jepang,Food & Dining,expense
2025-05-24,Beli hadiah ulang tahun,Shopping,expense
2025-05-22,Isi bensin di SPBU Pertamina,Transportation,expense
2025-06-29,Langganan Netflix bulanan,Entertainment,expense
2025-03-14,Parkir di Mall Kelapa Gading,Transportation,expense
2025-02-10,Tunjangan transportasi kantor,Salary,income
2025-02-19,Langganan internet Indihome,Bills & Utilities,expense
2024-12-11,Cek kesehatan di RS Hermina,Health & Medical,expense
2025-07-27,Beli tiket konser musik,Entertainment,expense
2024-11-22,Beli tiket konser musik,Entertainment,expense
2025-01-27,Top up pulsa Telkomsel,Bills & Utilities,expense
2024-12-07,Gaji proyek freelance,Salary,income
2025-09-15,Nonton di XXI Mall of Indonesia,Entertainment,expense
2024-11-01,Langganan Spotify Premium,Entertainment,expense
2025-02-23,Tunjangan transportasi kantor,Salary,income
2025-02-04,Beli jajanan di Indomaret,Food & Dining,expense
2025-02-05,Pendapatan tambahan dari klien,Salary,income
2025-02-18,Isi bensin di SPBU Pertamina,Transportation,expense
2025-08-23,Belanja baju di H&M,Shopping,expense
2025-01-04,Tunjangan transportasi kantor,Salary,income
2025-02-27,Beli jajanan di Indomaret,Food & Dining,expense
2024-12-17,Biaya konsultasi dokter umum,Health & Medical,expense
2024-12-28,Langganan Netflix bulanan,Entertainment,expense
2025-02-20,Tunjangan transportasi kantor,Salary,income
2024-10-30,Tiket KRL Bekasi-Jakarta,Transportation,expense
2024-11-17,Pesan makanan lewat GoFood,Food & Dining,expense
2025-07-18,Dinner di restoran Jepang,Food & Dining,expense
2025-06-22,Gaji Bulanan PT Astra,Salary,income
2025-07-11,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-06-10,Naik Gojek ke kantor,Transportation,expense
2025-09-01,Isi bensin di SPBU Pertamina,Transportation,expense
2025-03-25,Pendapatan tambahan dari klien,Salary,income
2024-11-22,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-05-28,Langganan internet Indihome,Bills & Utilities,expense
2025-06-30,Langganan Netflix bulanan,Entertainment,expense
2024-11-28,Beli game di Steam,Entertainment,expense
2025-08-29,Tunjangan transportasi kantor,Salary,income
2024-12-25,Makan siang di Warteg Bu Siti,Food & Dining,expense
2025-09-11,Beli hadiah ulang tahun,Shopping,expense
2025-10-21,Bayar tol JORR,Transportation,expense
2025-08-23,Pesan jam tangan Casio online,Shopping,expense
2025-06-11,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-05-30,Bayar tol JORR,Transportation,expense
2025-09-22,Gaji Bulanan PT Astra,Salary,income
2025-02-09,Langganan Spotify Premium,Entertainment,expense
2025-02-15,Langganan internet Indihome,Bills & Utilities,expense
2025-06-11,Top up pulsa Telkomsel,Bills & Utilities,expense
2024-12-09,Langganan internet Indihome,Bills & Utilities,expense
2025-03-31,Pesan jam tangan Casio online,Shopping,expense
2025-05-01,Beli tiket konser musik,Entertainment,expense
2024-11-25,Dinner di restoran Jepang,Food & Dining,expense
2024-12-08,Gaji Bulanan PT Astra,Salary,income
2025-04-30,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-08-02,Biaya konsultasi dokter umum,Health & Medical,expense
2025-08-05,Pendapatan tambahan dari klien,Salary,income
2025-09-30,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-04-21,Gaji proyek freelance,Salary,income
2024-11-17,Beli vitamin di Guardian,Health & Medical,expense
2025-03-30,Beli hadiah ulang tahun,Shopping,expense
2025-08-13,Beli sepatu di Tokopedia,Shopping,expense
2025-01-09,Isi bensin di SPBU Pertamina,Transportation,expense
2025-02-13,Beli game di Steam,Entertainment,expense
2025-04-19,Beli obat di apotek Kimia Farma,Health & Medical,expense
2025-04-28,Tes antigen di klinik terdekat,Health & Medical,expense
2025-08-11,Tunjangan transportasi kantor,Salary,income
2025-08-05,Dinner di restoran Jepang,Food & Dining,expense
2025-09-01,Tes antigen di klinik terdekat,Health & Medical,expense
2024-11-04,Langganan Spotify Premium,Entertainment,expense
2024-11-05,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-10-16,Pesan makanan lewat GoFood,Food & Dining,expense
2025-04-13,Cek kesehatan di RS Hermina,Health & Medical,expense
2025-01-22,Beli sepatu di Tokopedia,Shopping,expense
2025-08-07,Biaya konsultasi dokter umum,Health & Medical,expense
2024-11-26,Beli game di Steam,Entertainment,expense
2024-12-07,Makan siang di Warteg Bu Siti,Food & Dining,expense
2025-02-09,Langganan Spotify Premium,Entertainment,expense
2025-06-11,Langganan internet Indihome,Bills & Utilities,expense
2025-04-29,Belanja baju di H&M,Shopping,expense
2025-08-08,Beli gadget di Shopee,Shopping,expense
2024-11-17,Naik Gojek ke kantor,Transportation,expense
2025-09-03,Beli kopi di Starbucks,Food & Dining,expense
2025-03-10,Gaji Bulanan PT Astra,Salary,income
2025-06-27,Langganan internet Indihome,Bills & Utilities,expense
2025-05-22,Parkir di Mall Kelapa Gading,Transportation,expense
2025-07-11,Belanja baju di H&M,Shopping,expense
2025-05-30,Tunjangan transportasi kantor,Salary,income
2025-10-04,Tunjangan transportasi kantor,Salary,income
2025-06-28,Langganan Spotify Premium,Entertainment,expense
2024-11-14,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-08-24,Dinner di restoran Jepang,Food & Dining,expense
2025-02-03,Gaji Bulanan PT Astra,Salary,income
2024-12-31,Belanja baju di H&M,Shopping,expense
2025-03-19,Cek kesehatan di RS Hermina,Health & Medical,expense
2024-10-25,Beli sepatu di Tokopedia,Shopping,expense
2025-01-19,Langganan internet Indihome,Bills & Utilities,expense
2025-07-21,Dinner di restoran Jepang,Food & Dining,expense
2025-07-05,Nonton di XXI Mall of Indonesia,Entertainment,expense
2024-11-27,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-06-02,Pembayaran tagihan PLN,Bills & Utilities,expense
2024-11-30,Gaji proyek freelance,Salary,income
2025-08-12,Cek kesehatan di RS Hermina,Health & Medical,expense
2025-05-17,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-03-19,Beli game di Steam,Entertainment,expense
2024-11-01,Gaji proyek freelance,Salary,income
2025-09-03,Belanja baju di H&M,Shopping,expense
2024-12-06,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-02-23,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-05-15,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-05-12,Naik Gojek ke kantor,Transportation,expense
2025-04-13,Cek kesehatan di RS Hermina,Health & Medical,expense
2025-01-16,Pesan makanan lewat GoFood,Food & Dining,expense
2025-09-11,Pendapatan tambahan dari klien,Salary,income
2025-07-10,Pendapatan tambahan dari klien,Salary,income
2025-04-19,Pesan makanan lewat GoFood,Food & Dining,expense
2025-02-19,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-03-02,Bonus akhir tahun,Salary,income
2025-08-26,Beli kopi di Starbucks,Food & Dining,expense
2025-01-20,Makan siang di Warteg Bu Siti,Food & Dining,expense
2025-06-16,Beli vitamin di Guardian,Health & Medical,expense
2025-08-14,Tes antigen di klinik terdekat,Health & Medical,expense
2025-09-16,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-04-05,Langganan Spotify Premium,Entertainment,expense
2025-01-07,Cek kesehatan di RS Hermina,Health & Medical,expense
2025-06-19,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-03-11,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-04-20,Naik Gojek ke kantor,Transportation,expense
2025-03-29,Naik Gojek ke kantor,Transportation,expense
2024-11-10,Langganan internet Indihome,Bills & Utilities,expense
2025-03-17,Tunjangan transportasi kantor,Salary,income
2025-09-01,Gaji Bulanan PT Astra,Salary,income
2025-05-06,Bayar tol JORR,Transportation,expense
2025-08-01,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-06-09,Beli obat di apotek Kimia Farma,Health & Medical,expense
2025-09-20,Tes antigen di klinik terdekat,Health & Medical,expense
2025-08-27,Pesan makanan lewat GoFood,Food & Dining,expense
2025-01-07,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2024-12-13,Gaji proyek freelance,Salary,income
2025-10-22,Cek kesehatan di RS Hermina,Health & Medical,expense
2025-09-17,Pendapatan tambahan dari klien,Salary,income
2025-02-25,Makan siang di Warteg Bu Siti,Food & Dining,expense
2025-06-03,Beli game di Steam,Entertainment,expense
2025-08-30,Bayar tol JORR,Transportation,expense
2025-04-30,Pesan makanan lewat GoFood,Food & Dining,expense
2025-05-19,Pesan jam tangan Casio online,Shopping,expense
2025-10-04,Cek kesehatan di RS Hermina,Health & Medical,expense
2025-09-10,Naik Gojek ke kantor,Transportation,expense
2024-11-24,Beli tiket konser musik,Entertainment,expense
2025-08-03,Beli sepatu di Tokopedia,Shopping,expense
2025-03-16,Beli game di Steam,Entertainment,expense
2025-01-06,Beli hadiah ulang tahun,Shopping,expense
2025-08-16,Beli sepatu di Tokopedia,Shopping,expense
2025-04-19,Nonton di XXI Mall of Indonesia,Entertainment,expense
2024-12-27,Pesan jam tangan Casio online,Shopping,expense
2025-03-29,Naik Gojek ke kantor,Transportation,expense
2025-09-16,Parkir di Mall Kelapa Gading,Transportation,expense
2024-12-26,Cek kesehatan di RS Hermina,Health & Medical,expense
2024-12-08,Langganan Spotify Premium,Entertainment,expense
2025-07-09,Beli game di Steam,Entertainment,expense
2025-04-25,Beli sepatu di Tokopedia,Shopping,expense
2025-02-08,Belanja baju di H&M,Shopping,expense
2025-01-28,Pesan jam tangan Casio online,Shopping,expense
2025-01-09,Beli kopi di Starbucks,Food & Dining,expense
2024-12-12,Tunjangan transportasi kantor,Salary,income
2025-07-18,Bayar tol JORR,Transportation,expense
2025-09-03,Tunjangan transportasi kantor,Salary,income
2025-05-02,Beli jajanan di Indomaret,Food & Dining,expense
2025-01-22,Beli kopi di Starbucks,Food & Dining,expense
2025-01-14,Tes antigen di klinik terdekat,Health & Medical,expense
2024-11-13,Beli game di Steam,Entertainment,expense
2025-10-03,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-06-06,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-06-08,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-02-21,Beli jajanan di Indomaret,Food & Dining,expense
2025-01-29,Pesan jam tangan Casio online,Shopping,expense
2025-06-04,Beli hadiah ulang tahun,Shopping,expense
2025-05-05,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-05-24,Bayar tol JORR,Transportation,expense
2025-08-27,Beli kopi di Starbucks,Food & Dining,expense
2024-11-17,Pesan makanan lewat GoFood,Food & Dining,expense
2025-04-30,Beli game di Steam,Entertainment,expense
2025-10-21,Naik Gojek ke kantor,Transportation,expense
2024-12-24,Tes antigen di klinik terdekat,Health & Medical,expense
2025-01-12,Beli sepatu di Tokopedia,Shopping,expense
2025-07-11,Pesan jam tangan Casio online,Shopping,expense
2024-12-07,Dinner di restoran Jepang,Food & Dining,expense
2025-04-18,Dinner di restoran Jepang,Food & Dining,expense
2024-11-18,Gaji proyek freelance,Salary,income
2025-05-01,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2024-12-02,Dinner di restoran Jepang,Food & Dining,expense
2024-11-05,Belanja baju di H&M,Shopping,expense
2025-10-22,Beli sepatu di Tokopedia,Shopping,expense
2025-01-04,Beli tiket konser musik,Entertainment,expense
2025-03-17,Makan siang di Warteg Bu Siti,Food & Dining,expense
2025-10-13,Beli vitamin di Guardian,Health & Medical,expense
2025-10-18,Biaya konsultasi dokter umum,Health & Medical,expense
2025-09-02,Langganan internet Indihome,Bills & Utilities,expense
2024-10-31,Gaji Bulanan PT Astra,Salary,income
2025-01-06,Belanja baju di H&M,Shopping,expense
2025-07-19,Bayar tol JORR,Transportation,expense
2025-03-18,Pembayaran tagihan PLN,Bills & Utilities,expense
2024-12-23,Pesan makanan lewat GoFood,Food & Dining,expense
2025-05-24,Bonus akhir tahun,Salary,income
2025-06-13,Langganan Spotify Premium,Entertainment,expense
2025-07-04,Gaji Bulanan PT Astra,Salary,income
2024-10-30,Bayar tol JORR,Transportation,expense
2025-08-12,Langganan Spotify Premium,Entertainment,expense
2025-03-20,Beli kopi di Starbucks,Food & Dining,expense
2025-09-01,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-08-10,Belanja baju di H&M,Shopping,expense
2025-09-27,Bayar tagihan air PDAM,Bills & Utilities,expense
2025-07-17,Langganan Netflix bulanan,Entertainment,expense
2025-07-18,Beli sepatu di Tokopedia,Shopping,expense
2025-07-08,Bayar tol JORR,Transportation,expense
2025-05-09,Naik Gojek ke kantor,Transportation,expense
2024-11-13,Beli vitamin di Guardian,Health & Medical,expense
2025-05-01,Beli game di Steam,Entertainment,expense
2025-04-22,Beli sepatu di Tokopedia,Shopping,expense
2025-04-16,Beli obat di apotek Kimia Farma,Health & Medical,expense
2025-08-15,Makan siang di Warteg Bu Siti,Food & Dining,expense
2024-12-29,Beli tiket konser musik,Entertainment,expense
2025-07-28,Tunjangan transportasi kantor,Salary,income
2025-10-07,Belanja baju di H&M,Shopping,expense
2025-09-10,Langganan internet Indihome,Bills & Utilities,expense
2024-11-23,Beli kopi di Starbucks,Food & Dining,expense
2024-11-09,Beli game di Steam,Entertainment,expense
2024-11-13,Belanja baju di H&M,Shopping,expense
2024-11-12,Biaya konsultasi dokter umum,Health & Medical,expense
2025-07-12,Beli gadget di Shopee,Shopping,expense
2025-06-21,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-09-18,Beli sepatu di Tokopedia,Shopping,expense
2025-04-22,Pesan makanan lewat GoFood,Food & Dining,expense
2025-09-22,Beli obat di apotek Kimia Farma,Health & Medical,expense
2024-12-24,Beli gadget di Shopee,Shopping,expense
2025-06-02,Cek kesehatan di RS Hermina,Health & Medical,expense
2025-05-07,Langganan internet Indihome,Bills & Utilities,expense
2025-07-03,Belanja baju di H&M,Shopping,expense
2025-04-28,Beli game di Steam,Entertainment,expense
2025-03-07,Tes antigen di klinik terdekat,Health & Medical,expense
2025-05-27,Beli obat di apotek Kimia Farma,Health & Medical,expense
2025-08-26,Gaji proyek freelance,Salary,income
2025-07-28,Biaya konsultasi dokter umum,Health & Medical,expense
2024-12-13,Beli gadget di Shopee,Shopping,expense
2025-09-25,Tunjangan transportasi kantor,Salary,income
2025-06-07,Beli gadget di Shopee,Shopping,expense
2025-01-15,Parkir di Mall Kelapa Gading,Transportation,expense
2025-04-19,Beli game di Steam,Entertainment,expense
2025-04-20,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-03-11,Parkir di Mall Kelapa Gading,Transportation,expense
2024-11-29,Langganan Netflix bulanan,Entertainment,expense
2025-04-26,Beli game di Steam,Entertainment,expense
2024-11-06,Isi bensin di SPBU Pertamina,Transportation,expense
2025-10-04,Beli jajanan di Indomaret,Food & Dining,expense
2024-11-08,Beli vitamin di Guardian,Health & Medical,expense
2025-02-19,Makan siang di Warteg Bu Siti,Food & Dining,expense
2025-04-25,Cek kesehatan di RS Hermina,Health & Medical,expense
2024-11-07,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-10-04,Isi bensin di SPBU Pertamina,Transportation,expense
2025-04-30,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-08-11,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-04-27,Beli jajanan di Indomaret,Food & Dining,expense
2025-09-19,Top up pulsa Telkomsel,Bills & Utilities,expense
2024-12-19,Belanja baju di H&M,Shopping,expense
2025-07-04,Bonus akhir tahun,Salary,income
2025-08-05,Parkir di Mall Kelapa Gading,Transportation,expense
2025-03-04,Tunjangan transportasi kantor,Salary,income
2025-02-08,Beli game di Steam,Entertainment,expense
2025-10-12,Tiket KRL Bekasi-Jakarta,Transportation,expense
2024-12-23,Bayar tagihan air PDAM,Bills & Utilities,expense
2025-06-10,Makan siang di Warteg Bu Siti,Food & Dining,expense
2024-12-05,Dinner di restoran Jepang,Food & Dining,expense
2025-09-28,Cek kesehatan di RS Hermina,Health & Medical,expense
2025-07-30,Beli sepatu di Tokopedia,Shopping,expense
2025-03-24,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-10-21,Biaya konsultasi dokter umum,Health & Medical,expense
2025-04-25,Nonton di XXI Mall of Indonesia,Entertainment,expense
2024-12-23,Isi bensin di SPBU Pertamina,Transportation,expense
2025-02-20,Beli kopi di Starbucks,Food & Dining,expense
2024-11-04,Beli vitamin di Guardian,Health & Medical,expense
2025-08-11,Beli hadiah ulang tahun,Shopping,expense
2025-07-31,Pesan jam tangan Casio online,Shopping,expense
2024-12-05,Beli jajanan di Indomaret,Food & Dining,expense
2025-05-13,Tunjangan transportasi kantor,Salary,income
2025-07-18,Beli game di Steam,Entertainment,expense
2025-08-12,Langganan internet Indihome,Bills & Utilities,expense
2025-04-02,Bonus akhir tahun,Salary,income
2025-06-09,Langganan Netflix bulanan,Entertainment,expense
2025-04-16,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-09-14,Beli jajanan di Indomaret,Food & Dining,expense
2024-12-27,Isi bensin di SPBU Pertamina,Transportation,expense
2024-11-19,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-07-14,Beli obat di apotek Kimia Farma,Health & Medical,expense
2025-01-14,Pesan makanan lewat GoFood,Food & Dining,expense
2025-10-20,Pesan makanan lewat GoFood,Food & Dining,expense
2025-07-14,Pesan makanan lewat GoFood,Food & Dining,expense
2025-02-27,Beli sepatu di Tokopedia,Shopping,expense
2025-03-11,Beli jajanan di Indomaret,Food & Dining,expense
2025-09-01,Pesan makanan lewat GoFood,Food & Dining,expense
2025-07-06,Naik Gojek ke kantor,Transportation,expense
2025-08-21,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-01-17,Isi bensin di SPBU Pertamina,Transportation,expense
2025-08-27,Langganan Spotify Premium,Entertainment,expense
2024-11-12,Beli hadiah ulang tahun,Shopping,expense
2024-12-02,Beli obat di apotek Kimia Farma,Health & Medical,expense
2025-03-06,Pendapatan tambahan dari klien,Salary,income
2025-08-10,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-09-14,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-09-08,Gaji proyek freelance,Salary,income
2025-09-15,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-02-24,Pesan jam tangan Casio online,Shopping,expense
2025-03-23,Beli vitamin di Guardian,Health & Medical,expense
2025-10-09,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-06-04,Bonus akhir tahun,Salary,income
2025-06-16,Langganan internet Indihome,Bills & Utilities,expense
2025-08-28,Pesan makanan lewat GoFood,Food & Dining,expense
2025-04-03,Pesan makanan lewat GoFood,Food & Dining,expense
2025-05-14,Beli tiket konser musik,Entertainment,expense
2025-07-12,Pesan makanan lewat GoFood,Food & Dining,expense
2025-04-03,Naik Gojek ke kantor,Transportation,expense
2024-12-23,Dinner di restoran Jepang,Food & Dining,expense
2025-02-25,Pesan jam tangan Casio online,Shopping,expense
2024-11-16,Makan siang di Warteg Bu Siti,Food & Dining,expense
2025-09-02,Pesan jam tangan Casio online,Shopping,expense
2025-01-11,Bayar tagihan air PDAM,Bills & Utilities,expense
2025-08-13,Cek kesehatan di RS Hermina,Health & Medical,expense
2025-01-27,Beli tiket konser musik,Entertainment,expense
2025-07-04,Biaya konsultasi dokter umum,Health & Medical,expense
2025-07-04,Parkir di Mall Kelapa Gading,Transportation,expense
2024-11-02,Pesan jam tangan Casio online,Shopping,expense
2025-07-07,Gaji proyek freelance,Salary,income
2025-02-09,Bayar tagihan air PDAM,Bills & Utilities,expense
2024-11-15,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-07-02,Tunjangan transportasi kantor,Salary,income
2025-03-17,Parkir di Mall Kelapa Gading,Transportation,expense
2024-12-16,Naik Gojek ke kantor,Transportation,expense
2025-03-06,Bayar tagihan air PDAM,Bills & Utilities,expense
2025-05-16,Beli tiket konser musik,Entertainment,expense
2025-05-15,Beli sepatu di Tokopedia,Shopping,expense
2025-08-05,Pendapatan tambahan dari klien,Salary,income
2025-08-01,Pesan makanan lewat GoFood,Food & Dining,expense
2025-05-07,Beli sepatu di Tokopedia,Shopping,expense
2025-07-30,Parkir di Mall Kelapa Gading,Transportation,expense
2025-10-05,Beli hadiah ulang tahun,Shopping,expense
2024-12-26,Naik Gojek ke kantor,Transportation,expense
2025-05-01,Gaji proyek freelance,Salary,income
2025-08-03,Cek kesehatan di RS Hermina,Health & Medical,expense
2025-01-31,Belanja baju di H&M,Shopping,expense
2025-05-15,Bayar tol JORR,Transportation,expense
2024-11-14,Naik Gojek ke kantor,Transportation,expense
2025-10-22,Bonus akhir tahun,Salary,income
2025-07-14,Pesan jam tangan Casio online,Shopping,expense
2025-08-28,Bayar tagihan air PDAM,Bills & Utilities,expense
2025-04-07,Isi bensin di SPBU Pertamina,Transportation,expense
2025-01-13,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-03-24,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-07-08,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-07-21,Tes antigen di klinik terdekat,Health & Medical,expense
2025-03-24,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-04-28,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-05-23,Beli sepatu di Tokopedia,Shopping,expense
2025-10-09,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-08-23,Langganan Netflix bulanan,Entertainment,expense
2025-09-22,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-08-13,Tes antigen di klinik terdekat,Health & Medical,expense
2025-08-16,Makan siang di Warteg Bu Siti,Food & Dining,expense
2025-07-17,Bayar tagihan air PDAM,Bills & Utilities,expense
2025-05-04,Langganan Spotify Premium,Entertainment,expense
2024-11-07,Beli kopi di Starbucks,Food & Dining,expense
2025-01-27,Naik Gojek ke kantor,Transportation,expense
2025-03-31,Gaji proyek freelance,Salary,income
2025-05-21,Bayar tagihan air PDAM,Bills & Utilities,expense
2025-05-20,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-06-20,Bayar tol JORR,Transportation,expense
2025-10-18,Beli obat di apotek Kimia Farma,Health & Medical,expense
2025-02-05,Beli jajanan di Indomaret,Food & Dining,expense
2025-09-26,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-05-02,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-06-14,Belanja baju di H&M,Shopping,expense
2025-07-28,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-08-30,Beli gadget di Shopee,Shopping,expense
2025-02-25,Bayar tagihan air PDAM,Bills & Utilities,expense
2025-03-23,Beli hadiah ulang tahun,Shopping,expense
2025-03-18,Pesan makanan lewat GoFood,Food & Dining,expense
2025-10-10,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-04-02,Beli game di Steam,Entertainment,expense
2025-08-04,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-03-18,Cek kesehatan di RS Hermina,Health & Medical,expense
2025-10-03,Pendapatan tambahan dari klien,Salary,income
2025-05-12,Parkir di Mall Kelapa Gading,Transportation,expense
2025-01-04,Cek kesehatan di RS Hermina,Health & Medical,expense
2025-03-18,Beli sepatu di Tokopedia,Shopping,expense
2025-04-17,Langganan Netflix bulanan,Entertainment,expense
2025-06-24,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-07-24,Beli kopi di Starbucks,Food & Dining,expense
2025-10-13,Beli hadiah ulang tahun,Shopping,expense
2024-12-16,Belanja baju di H&M,Shopping,expense
2025-02-21,Bayar tol JORR,Transportation,expense
2025-09-29,Makan siang di Warteg Bu Siti,Food & Dining,expense
2025-09-13,Isi bensin di SPBU Pertamina,Transportation,expense
2024-12-12,Makan siang di Warteg Bu Siti,Food & Dining,expense
2025-06-20,Top up pulsa Telkomsel,Bills & Utilities,expense
2024-10-24,Bonus akhir tahun,Salary,income
2025-05-18,Isi bensin di SPBU Pertamina,Transportation,expense
2025-06-23,Beli game di Steam,Entertainment,expense
2025-03-18,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-09-17,Beli gadget di Shopee,Shopping,expense
2025-09-20,Gaji Bulanan PT Astra,Salary,income
2025-07-22,Isi bensin di SPBU Pertamina,Transportation,expense
2025-01-19,Langganan Netflix bulanan,Entertainment,expense
2024-11-09,Bayar tagihan air PDAM,Bills & Utilities,expense
2025-07-02,Beli vitamin di Guardian,Health & Medical,expense
2024-11-10,Pesan makanan lewat GoFood,Food & Dining,expense
2025-08-08,Tunjangan transportasi kantor,Salary,income
2025-04-11,Naik Gojek ke kantor,Transportation,expense
2025-09-15,Pesan jam tangan Casio online,Shopping,expense
2025-07-01,Bayar tol JORR,Transportation,expense
2025-06-18,Beli jajanan di Indomaret,Food & Dining,expense
2024-12-18,Belanja baju di H&M,Shopping,expense
2025-06-13,Belanja baju di H&M,Shopping,expense
2025-01-25,Beli tiket konser musik,Entertainment,expense
2025-03-22,Tunjangan transportasi kantor,Salary,income
2025-01-19,Isi bensin di SPBU Pertamina,Transportation,expense
2025-05-28,Parkir di Mall Kelapa Gading,Transportation,expense
2024-12-05,Tiket KRL Bekasi-Jakarta,Transportation,expense
2025-01-24,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-04-05,Dinner di restoran Jepang,Food & Dining,expense
2025-03-04,Makan siang di Warteg Bu Siti,Food & Dining,expense
2025-06-07,Bayar tagihan air PDAM,Bills & Utilities,expense
2025-04-08,Cek kesehatan di RS Hermina,Health & Medical,expense
2025-08-11,Beli hadiah ulang tahun,Shopping,expense
2025-09-21,Tunjangan transportasi kantor,Salary,income
2024-11-22,Belanja baju di H&M,Shopping,expense
2025-06-17,Langganan Netflix bulanan,Entertainment,expense
2025-05-17,Belanja baju di H&M,Shopping,expense
2025-10-17,Langganan Spotify Premium,Entertainment,expense
2025-10-10,Cek kesehatan di RS Hermina,Health & Medical,expense
2025-04-28,Tunjangan transportasi kantor,Salary,income
2025-02-11,Isi bensin di SPBU Pertamina,Transportation,expense
2025-01-08,Dinner di restoran Jepang,Food & Dining,expense
2025-05-01,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-06-20,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-09-27,Tes antigen di klinik terdekat,Health & Medical,expense
2025-02-25,Biaya konsultasi dokter umum,Health & Medical,expense
2024-12-02,Langganan Spotify Premium,Entertainment,expense
2025-07-19,Parkir di Mall Kelapa Gading,Transportation,expense
2024-11-30,Beli tiket konser musik,Entertainment,expense
2024-11-22,Naik Gojek ke kantor,Transportation,expense
2025-07-07,Tes antigen di klinik terdekat,Health & Medical,expense
2025-07-23,Beli jajanan di Indomaret,Food & Dining,expense
2025-04-07,Beli kopi di Starbucks,Food & Dining,expense
2025-06-05,Tes antigen di klinik terdekat,Health & Medical,expense
2025-08-16,Bonus akhir tahun,Salary,income
2025-07-10,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-06-11,Pembayaran tagihan PLN,Bills & Utilities,expense
2025-05-22,Beli jajanan di Indomaret,Food & Dining,expense
2024-11-20,Bayar iuran kebersihan bulanan,Bills & Utilities,expense
2025-10-01,Parkir di Mall Kelapa Gading,Transportation,expense
2024-11-02,Cek kesehatan di RS Hermina,Health & Medical,expense
2024-10-23,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-08-14,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-05-26,Gaji Bulanan PT Astra,Salary,income
